qaccver	saccver	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	sstrand
22CCRAA000_B06_premix	refseq|NC_002947.4|chromosome	83.186	113	11	6	107	215	171912	172020	6.84e-21	97.1	plus
22CCRAA000_B06_premix	refseq|NC_002947.4|chromosome	83.186	113	11	6	107	215	177342	177450	6.84e-21	97.1	plus
22CCRAA000_B06_premix	refseq|NC_002947.4|chromosome	83.186	113	11	6	107	215	525472	525580	6.84e-21	97.1	plus
22CCRAA000_B06_premix	refseq|NC_002947.4|chromosome	83.186	113	11	6	107	215	698347	698455	6.84e-21	97.1	plus
22CCRAA000_B06_premix	refseq|NC_002947.4|chromosome	83.186	113	11	6	107	215	1326026	1326134	6.84e-21	97.1	plus
22CCRAA000_B06_premix	refseq|NC_002947.4|chromosome	83.186	113	11	6	107	215	2549213	2549321	6.84e-21	97.1	plus
22CCRAA000_B06_premix	refseq|NC_002947.4|chromosome	100.000	52	0	0	164	215	5312101	5312050	6.84e-21	97.1	minus
22CCRAA000_B07_premix	refseq|NC_002947.4|chromosome	96.825	567	17	1	94	660	15761	15196	0.0	946	minus
22CCRAA000_B08_premix	refseq|NC_002947.4|chromosome	100.000	367	0	0	99	465	174659	175025	0.0	678	plus
22CCRAA000_B08_premix	refseq|NC_002947.4|chromosome	100.000	367	0	0	99	465	180089	180455	0.0	678	plus
22CCRAA000_B08_premix	refseq|NC_002947.4|chromosome	100.000	367	0	0	99	465	528219	528585	0.0	678	plus
22CCRAA000_B08_premix	refseq|NC_002947.4|chromosome	100.000	367	0	0	99	465	701307	701673	0.0	678	plus
22CCRAA000_B08_premix	refseq|NC_002947.4|chromosome	99.728	367	1	0	99	465	1328773	1329139	0.0	673	plus
22CCRAA000_B08_premix	refseq|NC_002947.4|chromosome	99.728	367	1	0	99	465	2552173	2552539	0.0	673	plus
22CCRAA000_B08_premix	refseq|NC_002947.4|chromosome	99.728	367	1	0	99	465	5309133	5308767	0.0	673	minus
22CCRAA000_B09_premix	refseq|NC_002947.4|chromosome	96.491	171	5	1	1	170	6081843	6082013	1.35e-76	281	plus
22CCRAA000_B10_premix	refseq|NC_002947.4|chromosome	98.892	632	7	0	95	726	952811	953442	0.0	1129	plus
22CCRAA000_B11_premix	refseq|NC_002947.4|chromosome	98.419	506	6	2	92	596	706889	706385	0.0	889	minus
22CCRAA000_B11_premix	refseq|NC_002947.4|chromosome	100.000	31	0	0	92	122	336296	336326	9.55e-09	58.4	plus
22CCRAA000_B11_premix	refseq|NC_002947.4|chromosome	100.000	29	0	0	91	119	5887051	5887079	1.24e-07	54.7	plus
22CCRAA000_B11_premix	refseq|NC_002947.4|chromosome	100.000	28	0	0	92	119	316030	316003	4.44e-07	52.8	minus
22CCRAA000_B11_premix	refseq|NC_002947.4|chromosome	100.000	28	0	0	92	119	3054725	3054698	4.44e-07	52.8	minus
22CCRAA000_B11_premix	refseq|NC_002947.4|chromosome	96.875	32	0	1	89	119	3951101	3951070	4.44e-07	52.8	minus
22CCRAA000_B11_premix	refseq|NC_002947.4|chromosome	100.000	28	0	0	94	121	4079505	4079532	4.44e-07	52.8	plus
22CCRAA000_B12_premix	refseq|NC_002947.4|chromosome	98.394	498	8	0	98	595	697876	698373	0.0	876	plus
22CCRAA000_B12_premix	refseq|NC_002947.4|chromosome	98.193	498	9	0	98	595	171441	171938	0.0	870	plus
22CCRAA000_B12_premix	refseq|NC_002947.4|chromosome	98.193	498	9	0	98	595	176871	177368	0.0	870	plus
22CCRAA000_B12_premix	refseq|NC_002947.4|chromosome	98.193	498	9	0	98	595	525001	525498	0.0	870	plus
22CCRAA000_B12_premix	refseq|NC_002947.4|chromosome	98.193	498	9	0	98	595	1325555	1326052	0.0	870	plus
22CCRAA000_B12_premix	refseq|NC_002947.4|chromosome	98.193	498	9	0	98	595	2548742	2549239	0.0	870	plus
22CCRAA000_B12_premix	refseq|NC_002947.4|chromosome	98.193	498	9	0	98	595	5312629	5312132	0.0	870	minus
22CCRAA000_C01_premix	refseq|NC_002947.4|chromosome	99.454	733	3	1	105	837	12790	13521	0.0	1330	plus
22CCRAA000_C03_premix	refseq|NC_002947.4|chromosome	99.002	601	2	4	94	693	13210	13807	0.0	1074	plus
22CCRAA000_C04_premix	refseq|NC_002947.4|chromosome	97.985	546	5	5	102	644	6114038	6113496	0.0	942	minus
22CCRAA000_C05_premix	refseq|NC_002947.4|chromosome	94.624	93	5	0	112	204	5244032	5244124	2.27e-35	145	plus
22CCRAA000_C06_premix	refseq|NC_002947.4|chromosome	97.363	531	10	4	97	626	12421	12948	0.0	900	plus
22CCRAA000_C07_premix	refseq|NC_002947.4|chromosome	95.172	435	17	4	54	487	1328506	1328937	0.0	684	plus
22CCRAA000_C07_premix	refseq|NC_002947.4|chromosome	95.172	435	17	4	54	487	2551906	2552337	0.0	684	plus
22CCRAA000_C07_premix	refseq|NC_002947.4|chromosome	95.172	435	17	4	54	487	5309400	5308969	0.0	684	minus
22CCRAA000_C07_premix	refseq|NC_002947.4|chromosome	94.943	435	18	4	54	487	174392	174823	0.0	678	plus
22CCRAA000_C07_premix	refseq|NC_002947.4|chromosome	94.943	435	18	4	54	487	179822	180253	0.0	678	plus
22CCRAA000_C07_premix	refseq|NC_002947.4|chromosome	94.943	435	18	4	54	487	527952	528383	0.0	678	plus
22CCRAA000_C07_premix	refseq|NC_002947.4|chromosome	94.943	435	18	4	54	487	701040	701471	0.0	678	plus
22CCRAA000_C08_premix	refseq|NC_002947.4|chromosome	95.172	145	5	2	104	247	12426	12283	2.71e-60	228	minus
22CCRAA000_C09_premix	refseq|NC_002947.4|chromosome	97.978	445	8	1	102	546	734023	733580	0.0	771	minus
22CCRAA000_C09_premix	refseq|NC_002947.4|chromosome	95.522	201	5	4	256	454	733664	733466	3.62e-87	318	minus
22CCRAA000_C09_premix	refseq|NC_002947.4|chromosome	100.000	78	0	0	294	371	1402482	1402405	6.50e-35	145	minus
22CCRAA000_C09_premix	refseq|NC_002947.4|chromosome	93.023	43	3	0	162	204	1968085	1968127	1.87e-10	63.9	plus
22CCRAA000_C09_premix	refseq|NC_002947.4|chromosome	79.762	84	17	0	110	193	4700732	4700815	6.74e-10	62.1	plus
22CCRAA000_C09_premix	refseq|NC_002947.4|chromosome	83.077	65	9	2	130	193	1648987	1648924	8.72e-09	58.4	minus
22CCRAA000_C09_premix	refseq|NC_002947.4|chromosome	92.683	41	2	1	160	200	2493719	2493758	8.72e-09	58.4	plus
22CCRAA000_C09_premix	refseq|NC_002947.4|chromosome	90.909	44	2	2	166	208	4957586	4957544	8.72e-09	58.4	minus
22CCRAA000_C09_premix	refseq|NC_002947.4|chromosome	81.081	74	10	3	122	193	4524468	4524539	3.14e-08	56.5	plus
22CCRAA000_C10_premix	refseq|NC_002947.4|chromosome	98.519	540	7	1	81	619	5350351	5349812	0.0	952	minus
22CCRAA000_C11_premix	refseq|NC_002947.4|chromosome	95.924	368	9	5	84	448	5797224	5797588	1.57e-169	592	plus
22CCRAA000_C12_premix	refseq|NC_002947.4|chromosome	98.946	664	3	4	13	676	419251	418592	0.0	1184	minus
22CCRAA000_D01_premix	refseq|NC_002947.4|chromosome	98.209	670	10	2	64	733	5871181	5871848	0.0	1170	plus
22CCRAA000_D03_premix	refseq|NC_002947.4|chromosome	99.448	725	3	1	102	826	952032	951309	0.0	1315	minus
22CCRAA000_D04_premix	refseq|NC_002947.4|chromosome	100.000	488	0	0	87	574	1363552	1363065	0.0	902	minus
22CCRAA000_D05_premix	refseq|NC_002947.4|chromosome	99.500	600	3	0	104	703	526364	526963	0.0	1092	plus
22CCRAA000_D05_premix	refseq|NC_002947.4|chromosome	99.167	600	5	0	104	703	1326918	1327517	0.0	1081	plus
22CCRAA000_D05_premix	refseq|NC_002947.4|chromosome	99.000	600	6	0	104	703	172804	173403	0.0	1075	plus
22CCRAA000_D05_premix	refseq|NC_002947.4|chromosome	98.833	600	7	0	104	703	178234	178833	0.0	1070	plus
22CCRAA000_D05_premix	refseq|NC_002947.4|chromosome	98.540	411	6	0	293	703	5310799	5310389	0.0	726	minus
22CCRAA000_D05_premix	refseq|NC_002947.4|chromosome	97.203	429	10	2	276	703	699624	700051	0.0	725	plus
22CCRAA000_D05_premix	refseq|NC_002947.4|chromosome	96.941	425	13	0	279	703	2550493	2550917	0.0	713	plus
22CCRAA000_D05_premix	refseq|NC_002947.4|chromosome	98.817	169	2	0	104	272	699239	699407	4.73e-82	302	plus
22CCRAA000_D05_premix	refseq|NC_002947.4|chromosome	98.817	169	2	0	104	272	2550105	2550273	4.73e-82	302	plus
22CCRAA000_D05_premix	refseq|NC_002947.4|chromosome	100.000	161	0	0	104	264	5311266	5311106	6.12e-81	298	minus
22CCRAA000_D06_premix	refseq|NC_002947.4|chromosome	89.286	112	12	0	107	218	173934	174045	3.16e-34	141	plus
22CCRAA000_D06_premix	refseq|NC_002947.4|chromosome	89.286	112	12	0	107	218	179364	179475	3.16e-34	141	plus
22CCRAA000_D06_premix	refseq|NC_002947.4|chromosome	89.286	112	12	0	107	218	527494	527605	3.16e-34	141	plus
22CCRAA000_D06_premix	refseq|NC_002947.4|chromosome	89.286	112	12	0	107	218	700582	700693	3.16e-34	141	plus
22CCRAA000_D06_premix	refseq|NC_002947.4|chromosome	89.286	112	12	0	107	218	1328048	1328159	3.16e-34	141	plus
22CCRAA000_D06_premix	refseq|NC_002947.4|chromosome	89.286	112	12	0	107	218	2551448	2551559	3.16e-34	141	plus
22CCRAA000_D06_premix	refseq|NC_002947.4|chromosome	89.286	112	12	0	107	218	5309858	5309747	3.16e-34	141	minus
22CCRAA000_D08_premix	refseq|NC_002947.4|chromosome	99.398	332	2	0	102	433	698923	699254	7.00e-173	603	plus
22CCRAA000_D08_premix	refseq|NC_002947.4|chromosome	99.398	332	2	0	102	433	2549789	2550120	7.00e-173	603	plus
22CCRAA000_D08_premix	refseq|NC_002947.4|chromosome	99.398	332	2	0	102	433	5311582	5311251	7.00e-173	603	minus
22CCRAA000_D08_premix	refseq|NC_002947.4|chromosome	99.096	332	3	0	102	433	172488	172819	3.26e-171	597	plus
22CCRAA000_D08_premix	refseq|NC_002947.4|chromosome	99.096	332	3	0	102	433	177918	178249	3.26e-171	597	plus
22CCRAA000_D08_premix	refseq|NC_002947.4|chromosome	99.096	332	3	0	102	433	526048	526379	3.26e-171	597	plus
22CCRAA000_D08_premix	refseq|NC_002947.4|chromosome	99.096	332	3	0	102	433	1326602	1326933	3.26e-171	597	plus
22CCRAA000_D09_premix	refseq|NC_002947.4|chromosome	99.563	458	2	0	110	567	175422	175879	0.0	835	plus
22CCRAA000_D09_premix	refseq|NC_002947.4|chromosome	99.563	458	2	0	110	567	180852	181309	0.0	835	plus
22CCRAA000_D09_premix	refseq|NC_002947.4|chromosome	99.563	458	2	0	110	567	528982	529439	0.0	835	plus
22CCRAA000_D09_premix	refseq|NC_002947.4|chromosome	99.563	458	2	0	110	567	702070	702527	0.0	835	plus
22CCRAA000_D09_premix	refseq|NC_002947.4|chromosome	99.563	458	2	0	110	567	1329536	1329993	0.0	835	plus
22CCRAA000_D09_premix	refseq|NC_002947.4|chromosome	99.563	458	2	0	110	567	2552936	2553393	0.0	835	plus
22CCRAA000_D09_premix	refseq|NC_002947.4|chromosome	99.563	458	2	0	110	567	5308370	5307913	0.0	835	minus
22CCRAA000_E01_premix	refseq|NC_002947.4|chromosome	100.000	373	0	0	102	474	5307723	5307351	0.0	689	minus
22CCRAA000_E01_premix	refseq|NC_002947.4|chromosome	97.867	375	6	2	102	474	2553583	2553957	0.0	647	plus
22CCRAA000_E01_premix	refseq|NC_002947.4|chromosome	98.892	361	4	0	102	462	1330183	1330543	0.0	645	plus
22CCRAA000_E01_premix	refseq|NC_002947.4|chromosome	97.594	374	8	1	102	474	702717	703090	0.0	640	plus
22CCRAA000_E01_premix	refseq|NC_002947.4|chromosome	98.512	336	4	1	102	436	176069	176404	1.67e-169	592	plus
22CCRAA000_E01_premix	refseq|NC_002947.4|chromosome	98.214	336	5	1	102	436	181499	181834	7.76e-168	586	plus
22CCRAA000_E01_premix	refseq|NC_002947.4|chromosome	95.115	348	4	4	102	448	529629	529964	7.92e-153	536	plus
22CCRAA000_E01_premix	refseq|NC_002947.4|chromosome	92.308	182	11	3	256	436	181878	182057	2.48e-68	255	plus
22CCRAA000_E02_premix	refseq|NC_002947.4|chromosome	100.000	600	0	0	102	701	950260	949661	0.0	1109	minus
22CCRAA000_E03_premix	refseq|NC_002947.4|chromosome	100.000	72	0	0	74	145	5478208	5478137	3.33e-32	134	minus
22CCRAA000_E04_premix	refseq|NC_002947.4|chromosome	100.000	539	0	0	109	647	1363552	1363014	0.0	996	minus
22CCRAA000_E05_premix	refseq|NC_002947.4|chromosome	99.696	657	2	0	102	758	527461	528117	0.0	1203	plus
22CCRAA000_E05_premix	refseq|NC_002947.4|chromosome	99.543	657	3	0	102	758	173901	174557	0.0	1197	plus
22CCRAA000_E05_premix	refseq|NC_002947.4|chromosome	99.543	657	3	0	102	758	179331	179987	0.0	1197	plus
22CCRAA000_E05_premix	refseq|NC_002947.4|chromosome	99.543	657	3	0	102	758	700549	701205	0.0	1197	plus
22CCRAA000_E05_premix	refseq|NC_002947.4|chromosome	99.543	657	3	0	102	758	1328015	1328671	0.0	1197	plus
22CCRAA000_E05_premix	refseq|NC_002947.4|chromosome	99.543	657	3	0	102	758	2551415	2552071	0.0	1197	plus
22CCRAA000_E05_premix	refseq|NC_002947.4|chromosome	99.543	657	3	0	102	758	5309891	5309235	0.0	1197	minus
22CCRAA000_E06_premix	refseq|NC_002947.4|chromosome	100.000	564	0	0	104	667	703707	703144	0.0	1042	minus
22CCRAA000_E07_premix	refseq|NC_002947.4|chromosome	100.000	304	0	0	102	405	175753	176056	1.11e-160	562	plus
22CCRAA000_E07_premix	refseq|NC_002947.4|chromosome	100.000	304	0	0	102	405	181183	181486	1.11e-160	562	plus
22CCRAA000_E07_premix	refseq|NC_002947.4|chromosome	100.000	304	0	0	102	405	529313	529616	1.11e-160	562	plus
22CCRAA000_E07_premix	refseq|NC_002947.4|chromosome	100.000	304	0	0	102	405	702401	702704	1.11e-160	562	plus
22CCRAA000_E07_premix	refseq|NC_002947.4|chromosome	100.000	304	0	0	102	405	1329867	1330170	1.11e-160	562	plus
22CCRAA000_E07_premix	refseq|NC_002947.4|chromosome	100.000	304	0	0	102	405	2553267	2553570	1.11e-160	562	plus
22CCRAA000_E07_premix	refseq|NC_002947.4|chromosome	100.000	304	0	0	102	405	5308039	5307736	1.11e-160	562	minus
22CCRAA000_E08_premix	refseq|NC_002947.4|chromosome	99.660	294	1	0	104	397	15761	15468	1.83e-153	538	minus
22CCRAA000_E09_premix	refseq|NC_002947.4|chromosome	93.130	262	10	5	103	360	172072	172329	3.80e-105	377	plus
22CCRAA000_E09_premix	refseq|NC_002947.4|chromosome	93.130	262	10	5	103	360	177502	177759	3.80e-105	377	plus
22CCRAA000_E09_premix	refseq|NC_002947.4|chromosome	93.130	262	10	5	103	360	525632	525889	3.80e-105	377	plus
22CCRAA000_E09_premix	refseq|NC_002947.4|chromosome	93.130	262	10	5	103	360	698507	698764	3.80e-105	377	plus
22CCRAA000_E09_premix	refseq|NC_002947.4|chromosome	93.130	262	10	5	103	360	1326186	1326443	3.80e-105	377	plus
22CCRAA000_E09_premix	refseq|NC_002947.4|chromosome	93.130	262	10	5	103	360	2549373	2549630	3.80e-105	377	plus
22CCRAA000_E09_premix	refseq|NC_002947.4|chromosome	93.130	262	10	5	103	360	5311998	5311741	3.80e-105	377	minus
22CCRAA000_F01_premix	refseq|NC_002947.4|chromosome	99.107	672	6	0	89	760	173901	174572	0.0	1208	plus
22CCRAA000_F01_premix	refseq|NC_002947.4|chromosome	99.107	672	6	0	89	760	179331	180002	0.0	1208	plus
22CCRAA000_F01_premix	refseq|NC_002947.4|chromosome	99.107	672	6	0	89	760	700549	701220	0.0	1208	plus
22CCRAA000_F01_premix	refseq|NC_002947.4|chromosome	99.107	672	6	0	89	760	1328015	1328686	0.0	1208	plus
22CCRAA000_F01_premix	refseq|NC_002947.4|chromosome	99.107	672	6	0	89	760	2551415	2552086	0.0	1208	plus
22CCRAA000_F01_premix	refseq|NC_002947.4|chromosome	99.107	672	6	0	89	760	5309891	5309220	0.0	1208	minus
22CCRAA000_F01_premix	refseq|NC_002947.4|chromosome	98.958	672	7	0	89	760	527461	528132	0.0	1203	plus
22CCRAA000_F02_premix	refseq|NC_002947.4|chromosome	97.628	506	6	4	99	601	1328480	1328982	0.0	863	plus
22CCRAA000_F02_premix	refseq|NC_002947.4|chromosome	97.628	506	6	4	99	601	2551880	2552382	0.0	863	plus
22CCRAA000_F02_premix	refseq|NC_002947.4|chromosome	97.628	506	6	4	99	601	5309426	5308924	0.0	863	minus
22CCRAA000_F02_premix	refseq|NC_002947.4|chromosome	97.431	506	7	4	99	601	174366	174868	0.0	857	plus
22CCRAA000_F02_premix	refseq|NC_002947.4|chromosome	97.431	506	7	4	99	601	179796	180298	0.0	857	plus
22CCRAA000_F02_premix	refseq|NC_002947.4|chromosome	97.431	506	7	4	99	601	701014	701516	0.0	857	plus
22CCRAA000_F02_premix	refseq|NC_002947.4|chromosome	97.233	506	8	4	99	601	527926	528428	0.0	852	plus
22CCRAA000_F03_premix	refseq|NC_002947.4|chromosome	98.577	773	9	2	100	871	12502	13273	0.0	1365	plus
22CCRAA000_F04_premix	refseq|NC_002947.4|chromosome	100.000	466	0	0	101	566	175577	176042	0.0	861	plus
22CCRAA000_F04_premix	refseq|NC_002947.4|chromosome	100.000	466	0	0	101	566	181007	181472	0.0	861	plus
22CCRAA000_F04_premix	refseq|NC_002947.4|chromosome	100.000	466	0	0	101	566	529137	529602	0.0	861	plus
22CCRAA000_F04_premix	refseq|NC_002947.4|chromosome	100.000	466	0	0	101	566	702225	702690	0.0	861	plus
22CCRAA000_F04_premix	refseq|NC_002947.4|chromosome	100.000	466	0	0	101	566	1329691	1330156	0.0	861	plus
22CCRAA000_F04_premix	refseq|NC_002947.4|chromosome	100.000	466	0	0	101	566	2553091	2553556	0.0	861	plus
22CCRAA000_F04_premix	refseq|NC_002947.4|chromosome	100.000	466	0	0	101	566	5308215	5307750	0.0	861	minus
22CCRAA000_F05_premix	refseq|NC_002947.4|chromosome	100.000	396	0	0	104	499	174772	175167	0.0	732	plus
22CCRAA000_F05_premix	refseq|NC_002947.4|chromosome	100.000	396	0	0	104	499	180202	180597	0.0	732	plus
22CCRAA000_F05_premix	refseq|NC_002947.4|chromosome	100.000	396	0	0	104	499	528332	528727	0.0	732	plus
22CCRAA000_F05_premix	refseq|NC_002947.4|chromosome	100.000	396	0	0	104	499	701420	701815	0.0	732	plus
22CCRAA000_F05_premix	refseq|NC_002947.4|chromosome	100.000	396	0	0	104	499	1328886	1329281	0.0	732	plus
22CCRAA000_F05_premix	refseq|NC_002947.4|chromosome	100.000	396	0	0	104	499	2552286	2552681	0.0	732	plus
22CCRAA000_F05_premix	refseq|NC_002947.4|chromosome	100.000	396	0	0	104	499	5309020	5308625	0.0	732	minus
22CCRAA000_F06_premix	refseq|NC_002947.4|chromosome	98.238	454	8	0	69	522	173784	174237	0.0	795	plus
22CCRAA000_F06_premix	refseq|NC_002947.4|chromosome	98.238	454	8	0	69	522	179214	179667	0.0	795	plus
22CCRAA000_F06_premix	refseq|NC_002947.4|chromosome	98.238	454	8	0	69	522	527344	527797	0.0	795	plus
22CCRAA000_F06_premix	refseq|NC_002947.4|chromosome	98.238	454	8	0	69	522	700432	700885	0.0	795	plus
22CCRAA000_F06_premix	refseq|NC_002947.4|chromosome	98.238	454	8	0	69	522	1327898	1328351	0.0	795	plus
22CCRAA000_F06_premix	refseq|NC_002947.4|chromosome	98.238	454	8	0	69	522	5310008	5309555	0.0	795	minus
22CCRAA000_F06_premix	refseq|NC_002947.4|chromosome	98.018	454	9	0	69	522	2551298	2551751	0.0	789	plus
22CCRAA000_F08_premix	refseq|NC_002947.4|chromosome	99.431	527	1	2	103	629	175517	176041	0.0	955	plus
22CCRAA000_F08_premix	refseq|NC_002947.4|chromosome	99.431	527	1	2	103	629	180947	181471	0.0	955	plus
22CCRAA000_F08_premix	refseq|NC_002947.4|chromosome	99.431	527	1	2	103	629	529077	529601	0.0	955	plus
22CCRAA000_F08_premix	refseq|NC_002947.4|chromosome	99.431	527	1	2	103	629	702165	702689	0.0	955	plus
22CCRAA000_F08_premix	refseq|NC_002947.4|chromosome	99.431	527	1	2	103	629	1329631	1330155	0.0	955	plus
