DB Version,Assembly Accession,Chromosome/Plasmid Name,Chromosome/Plasmid Xref,PGD Gene ID,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Gene synonyns,Product Name,Product Name Confidence Class,Product Synonyms,RefSeq Accession,Length (nucleotides),Length (amino acids),Molecular Weight (predicted),Isoelectric Point (predicted),Subcellular Localization [Confidence Class]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821116,PP_0011,CDS,11103,12206,+,dnaN,,DNA polymerase III subunit beta,,,NP_742181.1 ; NP_742181.1,1104,367,40.7,5.16,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821118,PP_0012,CDS,12222,13325,+,recF,,DNA replication/repair protein,,,NP_742182.1 ; NP_742182.1,1104,367,41.8,8.70,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821120,PP_0013,CDS,13330,15750,+,gyrB,,DNA gyrase subunit B,,,NP_742183.1 ; NP_742183.1,2421,806,90.0,5.64,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821122,PP_5421,CDS,16589,17227,+,,,hypothetical protein,,,YP_009236886.1 ; WP_011953077.1,639,212,24.5,9.47,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821124,PP_0014,CDS,17208,19166,+,,,transposase,,,NP_742184.2 ; WP_016497347.1,1959,652,74.3,9.88,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821126,PP_0015,CDS,19163,20122,+,,,transposon protein,,,NP_742185.1 ; NP_742185.1,960,319,36.3,5.63,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821128,PP_0016,CDS,20198,22114,+,,,hypothetical protein,,,NP_742186.1 ; NP_742186.1,1917,638,71.2,7.60,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821130,PP_0017,CDS,22171,22530,+,,,transcriptional regulator,,,NP_742187.1 ; NP_742187.1,360,119,13.5,6.61,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821132,PP_0018,CDS,23176,24018,+,,,hypothetical protein,,,NP_742188.1 ; NP_742188.1,843,280,31.2,5.72,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821134,PP_0019,CDS,24000,24698,+,,,hypothetical protein,,,NP_742189.1 ; NP_742189.1,699,232,24.9,4.77,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821136,PP_0020,CDS,24695,25570,+,,,hypothetical protein,,,NP_742190.1 ; NP_742190.1,876,291,33.1,4.90,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821138,PP_0021,CDS,25881,26804,+,,,hypothetical protein,,,NP_742191.1 ; NP_742191.1,924,307,35.1,8.91,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821140,PP_0022,CDS,26989,27153,-,,,hypothetical protein,,,NP_742192.2 ; NP_742192.2,165,54,6296.1,6.95,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821142,PP_0023,CDS,27599,27727,-,,,hypothetical protein,,,NP_742193.1 ; NP_742193.1,129,42,4.9,9.90,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821144,PP_0024,CDS,27850,29547,-,,,membrane-associated metal-dependent hydrolase,,,NP_742194.1 ; NP_742194.1,1698,565,62.4,8.85,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821146,PP_0025,CDS,29990,30142,-,,,hypothetical protein,,,NP_742195.1 ; NP_742195.1,153,50,5.2,7.55,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821148,PP_0026,CDS,30431,31336,+,,,cobalt/cadmium/zinc exporter,,,NP_742196.1 ; NP_742196.1,906,301,32.4,5.36,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821150,PP_0027,CDS,31404,31844,+,,,membrane protein,,,NP_742197.1 ; NP_742197.1,441,146,16.2,10.15,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821152,PP_0028,CDS,31877,32203,-,,,hypothetical protein,,,NP_742198.1 ; NP_742198.1,327,108,12.2,7.76,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821154,PP_5422,CDS,32402,32575,+,,,hypothetical protein,,,YP_009236887.1 ; YP_009236887.1,174,57,6373.6,8.99,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821156,PP_0029,CDS,32893,33567,+,czcR-I,,heavy metal two-component system response regulator,,,NP_742199.1 ; NP_742199.1,675,224,25.5,5.79,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821158,PP_0030,CDS,33564,34982,+,czrSA,,metal-sensor histidine kinase,,,NP_742200.1 ; NP_742200.1,1419,472,52.1,5.94,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821160,PP_0031,CDS,35040,35627,-,,,hypothetical protein,,,NP_742201.1 ; NP_742201.1,588,195,21.5,6.17,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821162,PP_0032,CDS,35894,36115,+,,,hypothetical protein,,,NP_742202.1 ; NP_742202.1,222,73,8.3,5.36,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821164,PP_0033,CDS,36198,37652,-,,,undecaprenyl-glycosyl transferase,,,NP_742203.1 ; NP_742203.1,1455,484,53.9,9.44,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821166,PP_0034,CDS,37646,38629,-,,,bactoprenol glycosyl-transferase,,,NP_742204.1 ; NP_742204.1,984,327,36.9,8.86,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821168,PP_0035,CDS,38595,39014,-,,,bactoprenol-linked glycose transferase,,,NP_742205.1 ; NP_742205.1,420,139,15.0,9.69,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821170,PP_0036,CDS,39272,40240,+,,,transcriptional regulator,,,NP_742206.1 ; NP_742206.1,969,322,36.4,6.52,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821172,PP_0037,CDS,40469,41758,+,oprP,,porin P,,,NP_742207.1 ; NP_742207.1,1290,429,47.3,5.08,Outer Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821174,PP_0039,CDS,42057,43082,+,,,hypothetical protein,,,NP_742209.1 ; NP_742209.1,1026,341,37.7,8.09,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821176,PP_0040,CDS,43210,43434,+,,,hypothetical protein,,,NP_742210.1 ; NP_742210.1,225,74,7.7,6.71,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821178,PP_0041,CDS,43527,45524,-,cadA-I,,cadmium translocating P-type ATPase,,,NP_742211.1 ; NP_742211.1,1998,665,70.6,6.42,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821180,PP_0042,CDS,45727,46050,-,,,hypothetical protein,,,NP_742212.2 ; WP_003253432.1,324,107,12.3,9.91,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821182,PP_0043,CDS,46213,49374,-,czcA-I,,cation efflux system protein,,,NP_742213.1 ; NP_742213.1,3162,1053,113.4,6.23,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821184,PP_0044,CDS,49399,50649,-,czcB-I,,cobalt-zinc-cadmium resistance protein,,,NP_742214.1 ; NP_742214.1,1251,416,44.0,5.19,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821186,PP_0045,CDS,50718,51989,-,czcC-I,,cobalt-zinc-cadmium resistance protein,,,NP_742215.1 ; NP_742215.1,1272,423,45.8,9.27,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821188,PP_0046,CDS,52394,53737,+,opdT-I,,tyrosine-specific outer membrane porin D,,,NP_742216.1 ; NP_742216.1,1344,447,49.4,5.22,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821190,PP_0047,CDS,54227,54901,+,czcR-II,,response regulator,,,NP_742217.1 ; NP_742217.1,675,224,26.0,6.33,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821192,PP_0048,CDS,55019,55342,+,,,hypothetical protein,,,NP_742218.1 ; NP_742218.1,324,107,11.9,4.66,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821194,PP_5423,CDS,55444,55971,-,,,membrane protein,,,YP_009236888.1 ; WP_012269855.1,528,175,19.3,9.97,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821196,PP_0049,CDS,56161,57627,-,,,hypothetical protein,,,NP_742219.1 ; NP_742219.1,1467,488,54.4,6.33,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821198,PP_5424,CDS,57640,58089,-,,,hypothetical protein,,,YP_009236889.1 ; WP_016497352.1,450,149,16.9,3.99,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821200,PP_0050,CDS,58777,59184,-,,,hypothetical protein,,,NP_742220.1 ; NP_742220.1,408,135,15.2,9.77,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821202,PP_0051,CDS,59316,60608,-,,,sigma-54 dependent transcriptional regulator,,,NP_742221.1 ; NP_742221.1,1293,430,47.3,7.82,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821204,PP_0052,CDS,60831,61715,+,,,beta-lactamase domain-containing protein,,,NP_742222.1 ; NP_742222.1,885,294,32.7,5.41,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821206,PP_0053,CDS,61756,63024,+,,,sulfide:quinone oxidoreductase,,,NP_742223.1 ; NP_742223.1,1269,422,45.8,9.31,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821208,PP_0054,CDS,62982,63839,+,,,membrane protein,,,NP_742224.1 ; NP_742224.1,858,285,28.7,11.91,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821210,PP_0055,CDS,63828,64715,-,,,transcriptional regulator,,,NP_742225.1 ; NP_742225.1,888,295,33.5,7.14,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821212,PP_0056,CDS,64943,66595,+,betA-I,,choline dehydrogenase,,,NP_742226.1 ; NP_742226.1,1653,550,59.9,8.06,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821214,PP_0057,CDS,66693,68312,+,,,major facilitator family transporter,,,NP_742227.1 ; NP_742227.1,1620,539,58.8,9.09,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821216,PP_0058,CDS,68487,69272,-,,,1-acyl-sn-glycerol-3-phosphate acyltransferase,,,NP_742228.1 ; NP_742228.1,786,261,29.1,9.61,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821218,PP_0059,CDS,69319,69846,-,gmhB,,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase",,,NP_742229.1 ; NP_742229.1,528,175,18.8,5.08,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821220,PP_0060,CDS,69850,71904,-,glyS,,glycine-tRNA ligase subunit beta,,,NP_742230.1 ; NP_742230.1,2055,684,75.1,5.12,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821222,PP_0061,CDS,71901,72848,-,glyQ,,glycine-tRNA ligase subunit alpha,,,NP_742231.1 ; NP_742231.1,948,315,36.0,5.00,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821224,PP_0062,CDS,72932,73483,+,tag,,3-methyl-adenine DNA glycosylase I,,,NP_742232.1 ; NP_742232.1,552,183,21.1,7.67,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821226,PP_0063,CDS,73525,74412,+,,,lipid A biosynthesis lauroyl acyltransferase,,,NP_742233.1 ; NP_742233.1,888,295,32.8,9.60,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821228,PP_0064,CDS,74510,74824,-,,,hypothetical protein,,,NP_742234.1 ; NP_742234.1,315,104,11.4,8.71,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821230,PP_0065,CDS,74836,76209,-,trkA,,TrK potassium transporter NAD-binding protein,,,NP_742235.1 ; NP_742235.1,1374,457,49.8,5.15,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821232,PP_0066,CDS,76233,77543,-,rsmB,,ribosomal RNA small subunit methyltransferase B,,,NP_742236.1 ; NP_742236.1,1311,436,47.5,6.53,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821234,PP_0067,CDS,77540,78472,-,fmt,,methionyl-tRNA formyltransferase,,,NP_742237.1 ; NP_742237.1,933,310,32.8,5.53,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821236,PP_0068,CDS,78533,79039,-,def-I,,peptide deformylase,,,NP_742238.1 ; NP_742238.1,507,168,19.4,5.26,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821238,PP_0069,CDS,79246,80343,+,,,rossmann fold nucleotide-binding protein,,,NP_742239.1 ; NP_742239.1,1098,365,38.6,6.18,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821240,PP_0070,CDS,80386,80943,+,tsaC,,threonylcarbamoyl-AMP synthase,,,NP_742240.1 ; NP_742240.1,558,185,20.5,5.79,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821242,PP_5425,CDS,81077,81277,+,,,hypothetical protein,,,YP_009236890.1 ; WP_003253106.1,201,66,7.2,10.10,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821244,PP_mr01,ncRNA,81574,81663,+,,,,,,,90,,,,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821246,PP_0071,CDS,81691,82023,+,,,hypothetical protein,,,NP_742241.2 ; NP_742241.2,333,110,12133.8,5.63,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821248,PP_0072,CDS,82151,83128,-,qor-I,,quinone oxidoreductase,,,NP_742242.1 ; NP_742242.1,978,325,34.2,7.70,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821250,PP_0073,CDS,83261,84172,+,hemF,,coproporphyrinogen-III oxidase,,,NP_742243.1 ; NP_742243.1,912,303,34.4,5.52,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821252,PP_0074,CDS,84198,85022,+,aroE,,shikimate 5-dehydrogenase,,,NP_742244.1 ; NP_742244.1,825,274,29.3,5.24,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821254,PP_0075,CDS,85152,86717,-,,,choline sulfate transporter,,,NP_742245.1 ; NP_742245.1,1566,521,56.0,9.44,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821256,PP_0076,CDS,86862,87785,-,,,choline betaine-binding protein,,,NP_742246.2 ; WP_049588430.1,924,307,33.5,7.22,Periplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821258,PP_0077,CDS,87800,89317,-,betC,,choline-sulfatase,,,NP_742247.1 ; NP_742247.1,1518,505,57.5,5.51,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821260,PP_0079,CDS,89426,90325,+,,,transcriptional regulator,,,NP_742249.1 ; NP_742249.1,900,299,33.4,6.09,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821262,PP_0080,CDS,90447,91064,-,,,hypothetical protein,,,NP_742250.1 ; NP_742250.1,618,205,22.1,5.33,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821264,PP_0081,CDS,91078,91449,+,,,hypothetical protein,,,NP_742251.1 ; NP_742251.1,372,123,13.7,6.88,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821266,PP_0082,CDS,91570,92379,-,trpA,,tryptophan synthase subunit alpha,,,NP_742252.1 ; NP_742252.1,810,269,28.5,5.17,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821268,PP_0083,CDS,92376,93593,-,trpB,,tryptophan synthase subunit beta,,,NP_742253.1 ; NP_742253.1,1218,405,44.0,5.94,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821270,PP_0084,CDS,93704,94600,+,trpI,,HTH-type transcriptional regulator TrpI,,,NP_742254.1 ; NP_742254.1,897,298,32.2,6.20,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821272,PP_0085,CDS,94597,95085,-,,,hypothetical protein,,,NP_742255.1 ; NP_742255.1,489,162,18.2,10.02,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821274,PP_0086,CDS,95071,95286,+,,,hypothetical protein,,,NP_742256.1 ; NP_742256.1,216,71,8.0,6.97,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821276,PP_0087,CDS,95345,95608,+,,,hypothetical protein,,,NP_742257.1 ; NP_742257.1,264,87,9.0,9.99,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821278,PP_0088,CDS,95680,96684,-,,,alkanal monooxygenase,,,NP_742258.1 ; NP_742258.1,1005,334,36.9,6.01,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821280,PP_0089,CDS,96837,97262,+,osmC,,stress-induced peroxiredoxin,,,NP_742259.1 ; NP_742259.1,426,141,14.6,6.11,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821282,PP_0090,CDS,97275,97571,+,,,hypothetical protein,,,NP_742260.1 ; NP_742260.1,297,98,10.4,8.32,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821284,PP_0091,CDS,97607,98020,-,,,putative lipoprotein,,,NP_742261.1 ; NP_742261.1,414,137,15.7,7.68,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821286,PP_0092,CDS,98076,98489,-,,,putative lipoprotein,,,NP_742262.1 ; NP_742262.1,414,137,15.5,5.26,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821288,PP_0093,CDS,98575,99651,+,,,zinc protease,,,NP_742263.2 ; WP_049588425.1,1077,358,40.8,9.17,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821290,PP_0094,CDS,99758,100408,-,,,5'-nucleotidase,,,NP_742264.1 ; NP_742264.1,651,216,24.5,5.24,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821292,PP_0095,CDS,100530,101078,-,,,hypothetical protein,,,NP_742265.1 ; NP_742265.1,549,182,19.7,6.37,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821294,PP_0096,CDS,101181,103232,+,prlC,,oligopeptidase A,,,NP_742266.1 ; NP_742266.1,2052,683,75.7,5.02,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821296,PP_0097,CDS,103229,103510,+,,,hypothetical protein,,,NP_742267.1 ; NP_742267.1,282,93,10.1,8.76,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821298,PP_0098,CDS,103529,103702,+,,,hypothetical protein,,,NP_742268.1 ; NP_742268.1,174,57,6.4,4.23,Unknown [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821300,PP_0099,CDS,103842,104900,+,,,hypothetical protein,,,NP_742269.1 ; NP_742269.1,1059,352,39.3,8.14,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821302,PP_0100,CDS,105207,105926,+,cynT,,carbonic anhydrase,,,NP_742270.1 ; NP_742270.1,720,239,26.0,6.29,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821304,PP_0101,CDS,106134,107651,+,,,sulfate transporter,,,NP_742271.1 ; NP_742271.1,1518,505,53.2,10.44,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821306,PP_5426,CDS,107799,108440,-,,,hypothetical protein,,,YP_009236891.1 ; WP_014861534.1,642,213,23.8,4.73,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821308,PP_0103,CDS,108810,109937,+,,,cytochrome c oxidase subunit 2,,,NP_742273.1 ; NP_742273.1,1128,375,42.1,6.27,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821310,PP_0104,CDS,109981,111570,+,ctaD,,cytochrome c oxidase subunit 1,,,NP_742274.1 ; NP_742274.1,1590,529,58.7,6.45,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821312,PP_0105,CDS,111580,112146,+,,,cytochrome c oxidase assembly protein,,,NP_742275.1 ; NP_742275.1,567,188,20.8,6.50,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821314,PP_0106,CDS,112163,113050,+,,,cytochrome c oxidase subunit 3,,,NP_742276.1 ; NP_742276.1,888,295,33.6,8.04,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821316,PP_5427,CDS,113082,113285,-,,,hypothetical protein,,,YP_009236892.1 ; WP_003253030.1,204,67,7.1,10.50,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821318,PP_0107,CDS,113337,114074,+,,,hypothetical protein,,,NP_742277.2 ; WP_049588418.1,738,245,27.8,8.98,Cytoplasmic Membrane [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821320,PP_0108,CDS,114043,114624,+,,,hypothetical protein,,,NP_742278.1 ; NP_742278.1,582,193,21.5,9.14,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821322,PP_0109,CDS,114634,115713,+,,,membrane protein,,,NP_742279.1 ; NP_742279.1,1080,359,39.1,10.44,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821324,PP_0110,CDS,115698,116591,+,,,CyoE-like protoheme IX farnesyltransferase,,,NP_742280.1 ; NP_742280.1,894,297,32.6,10.00,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821326,PP_0111,CDS,116588,117220,+,,,electron transport protein SCO1/SenC,,,NP_742281.1 ; NP_742281.1,633,210,23.0,7.71,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821328,PP_0112,CDS,117314,118084,-,metQ,,methionine ABC transporter substrate-binding protein,,,NP_742282.1 ; NP_742282.1,771,256,27.7,6.92,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821330,PP_0113,CDS,118149,118820,-,metI,,ABC transporter permease,,,NP_742283.1 ; NP_742283.1,672,223,23.9,6.56,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821332,PP_0114,CDS,118820,119827,-,metN,,methionine ABC transporter ATP-binding protein,,,NP_742284.1 ; NP_742284.1,1008,335,36.7,5.76,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821334,PP_0115,CDS,120055,122190,+,katE,,hydroperoxidase,,,NP_742285.1 ; NP_742285.1,2136,711,78.1,6.21,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821336,PP_0116,CDS,122251,122958,-,,,putative lipoprotein,,,NP_742286.1 ; NP_742286.1,708,235,25.6,6.75,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821338,PP_0117,CDS,123085,123867,-,znuB,,zinc ABC transporter permease,,,NP_742287.1 ; NP_742287.1,783,260,27.0,6.39,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821340,PP_0118,CDS,123860,124633,-,znuC,,zinc ABC transporter ATP-binding protein,,,NP_742288.1 ; NP_742288.1,774,257,27.7,6.78,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821342,PP_0119,CDS,124630,125115,-,,,zinc uptake regulation protein Zur,,,NP_742289.2 ; WP_003253002.1,486,161,17.5,7.28,Cytoplasmic [Class 3]
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821344,PP_0120,CDS,125182,126090,+,,,zinc ABC transporter,,,NP_742290.1 ; NP_742290.1,909,302,32.8,5.79,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821346,PP_0121,CDS,126140,127090,-,thrB,,homoserine kinase,,,NP_742291.1 ; NP_742291.1,951,316,35.1,5.00,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821348,PP_0122,CDS,127160,127447,-,,,hypothetical protein,,,NP_742292.1 ; NP_742292.1,288,95,10.8,5.26,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821350,PP_0123,CDS,127523,130270,+,polA,,DNA polymerase I,,,NP_742293.1 ; NP_742293.1,2748,915,99.6,5.24,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821352,PP_mr02,ncRNA,130441,130556,+,,,,,,,116,,,,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821354,PP_0124,CDS,130641,131273,-,engB,,GTP-binding protein,,,NP_742294.1 ; NP_742294.1,633,210,23.4,9.20,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821356,PP_0125,CDS,131475,131777,+,,,cytochrome c-type protein,,,NP_742295.1 ; NP_742295.1,303,100,11.1,7.69,
20.1,GCF_000007565.2,chromosome,NC_002947.4,PGD38821358,PP_0126,CDS,131809,132426,+,cc,,cytochrome c4,,,NP_742296.1 ; NP_742296.1,618,205,21.3,7.73,
