qaccver,PositionSeqPlate,IdentitySample,saccver,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,sstrand,Locus Tag,Feature Type,Start,End,Strand,Gene Name,Product Name,Subcellular Localization [Confidence Class],Multiple Allignments,Rest of Locus Tag Associated
22CCRAA000_C12_premix,C12,C5 from KT5L-1-pBAMD1-2-4L3(PIR2),refseq|NC_002947.4|chromosome,98.946,664,3,4,13,676,419251,418592,0.0,1184.0,minus,PP_0346,CDS,418949.0,419701.0,+,-,heptose kinase WapQ,-,False,-
22CCRAA000_D01_premix,D01,E12 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,98.209,670,10,2,64,733,5871181,5871848,0.0,1170.0,plus,PP_5145,CDS,5870373.0,5872652.0,-,ptsP,phosphoenolpyruvate-dependent regulator,-,False,-
22CCRAA000_D03_premix,D03,G9 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,99.448,725,3,1,102,826,952032,951309,0.0,1315.0,minus,PP_0813,CDS,951170.0,953188.0,+,cyoB,cytochrome bo terminal oxidase subunit I,-,False,-
22CCRAA000_D04_premix,D04,B8 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,100.0,488,0,0,87,574,1363552,1363065,0.0,902.0,minus,PP_1188,CDS,1363308.0,1364630.0,+,dctA-I,C4-dicarboxylate transport protein,-,False,-
22CCRAA000_D05_premix,D05,H12 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,99.5,600,3,0,104,703,526364,526963,0.0,1092.0,plus,PP_16SC,rRNA,524949.0,526470.0,+,-,-,-,False,-
22CCRAA000_D06_premix,D06,D11 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,89.286,112,12,0,107,218,173934,174045,3.16e-34,141.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_D08_premix,D08,A9 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,99.398,332,2,0,102,433,698923,699254,7e-173,603.0,plus,PP_16SD,rRNA,697824.0,699345.0,+,-,-,-,True,"['PP_16SF', 'PP_16SG', 'PP_16SA', 'PP_16SB', 'PP_16SC', 'PP_16SE']"
22CCRAA000_D09_premix,D09,A8 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,99.563,458,2,0,110,567,175422,175879,0.0,835.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_E01_premix,E01,D12 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,100.0,373,0,0,102,474,5307723,5307351,0.0,689.0,minus,PP_23SG,rRNA,5307688.0,5310589.0,-,-,-,-,False,-
22CCRAA000_E02_premix,E02,A11 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,100.0,600,0,0,102,701,950260,949661,0.0,1109.0,minus,PP_0812,CDS,950225.0,951166.0,+,cyoA,cytochrome bo terminal oxidase subunit II,-,False,-
22CCRAA000_E03_premix,E03,D9 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,100.0,72,0,0,74,145,5478208,5478137,3.3300000000000003e-32,134.0,minus,PP_4815,CDS,5477799.0,5478515.0,-,-,membrane protein,-,False,-
22CCRAA000_E04_premix,E04,A8 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,100.0,539,0,0,109,647,1363552,1363014,0.0,996.0,minus,PP_1188,CDS,1363308.0,1364630.0,+,dctA-I,C4-dicarboxylate transport protein,-,False,-
22CCRAA000_E05_premix,E05,G12 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,99.696,657,2,0,102,758,527461,528117,0.0,1203.0,plus,PP_23SC,rRNA,526763.0,529664.0,+,-,-,-,True,"['PP_23SA', 'PP_23SB', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_E06_premix,E06,A11 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,100.0,564,0,0,104,667,703707,703144,0.0,1042.0,minus,PP_0598,CDS,703262.0,703921.0,+,-,paraquat-inducible protein A,Cytoplasmic Membrane [Class 3],False,-
22CCRAA000_E07_premix,E07,H9 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,100.0,304,0,0,102,405,175753,176056,1.1100000000000001e-160,562.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_E09_premix,E09,H7 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,93.13,262,10,5,103,360,172072,172329,3.8e-105,377.0,plus,PP_16SA,rRNA,171389.0,172910.0,+,-,-,-,True,"['PP_16SB', 'PP_16SC', 'PP_16SD', 'PP_16SE', 'PP_16SF', 'PP_16SG']"
22CCRAA000_F01_premix,F01,C12 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,99.107,672,6,0,89,760,173901,174572,0.0,1208.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG', 'PP_23SC']"
22CCRAA000_F02_premix,F02,H10 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,97.628,506,6,4,99,601,1328480,1328982,0.0,863.0,plus,PP_23SE,rRNA,1327317.0,1330218.0,+,-,-,-,True,"['PP_23SF', 'PP_23SG', 'PP_23SA', 'PP_23SB', 'PP_23SD']"
22CCRAA000_F03_premix,F03,C9 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,98.577,773,9,2,100,871,12502,13273,0.0,1365.0,plus,PP_0012,CDS,12222.0,13325.0,+,recF,DNA replication/repair protein,-,False,-
22CCRAA000_F04_premix,F04,H7 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,100.0,466,0,0,101,566,175577,176042,0.0,861.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_F05_premix,F05,F12 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,100.0,396,0,0,104,499,174772,175167,0.0,732.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_F06_premix,F06,H10 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,98.238,454,8,0,69,522,173784,174237,0.0,795.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SG', 'PP_23SF']"
22CCRAA000_F08_premix,F08,G8 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,99.431,527,1,2,103,629,175517,176041,0.0,955.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_F11_premix,F11,A6 from KT5L-1-pBAMD1-2-4L3(PIR2),refseq|NC_002947.4|chromosome,97.852,512,10,1,107,617,309584,310095,0.0,883.0,plus,PP_0255,CDS,309351.0,309833.0,-,-,hypothetical protein,-,False,-
22CCRAA000_G01_premix,G01,A12 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,98.267,404,6,1,102,505,172270,172672,0.0,706.0,plus,PP_16SA,rRNA,171389.0,172910.0,+,-,-,-,True,"['PP_16SB', 'PP_16SC', 'PP_16SE', 'PP_16SD', 'PP_16SF', 'PP_16SG']"
22CCRAA000_G02_premix,G02,G10 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,98.759,806,9,1,74,879,4739886,4740690,0.0,1432.0,plus,PP_4194,CDS,4739474.0,4740763.0,+,gltA,citrate synthase,-,False,-
22CCRAA000_G04_premix,G04,G7 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,100.0,420,0,0,101,520,175622,176041,0.0,776.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_G05_premix,G05,D12 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,98.264,288,5,0,102,389,172155,172442,1.81e-143,505.0,plus,PP_16SA,rRNA,171389.0,172910.0,+,-,-,-,True,"['PP_16SB', 'PP_16SC', 'PP_16SD', 'PP_16SE', 'PP_16SF', 'PP_16SG']"
22CCRAA000_G06_premix,G06,G10 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,98.598,642,8,1,104,744,526273,526914,0.0,1134.0,plus,PP_16SC,rRNA,524949.0,526470.0,+,-,-,-,True,['PP_16SE']
22CCRAA000_G07_premix,G07,F9 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,100.0,75,0,0,164,238,171969,172043,1.25e-33,139.0,plus,PP_16SA,rRNA,171389.0,172910.0,+,-,-,-,True,"['PP_16SB', 'PP_16SC', 'PP_16SD', 'PP_16SE', 'PP_16SF', 'PP_16SG']"
22CCRAA000_G08_premix,G08,F8 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,99.455,367,2,0,102,468,6071863,6072229,0.0,667.0,plus,PP_5326,CDS,6071679.0,6072524.0,-,pstB-II,phosphate ABC transporter ATP-binding protein,Cytoplasmic Membrane [Class 3],False,-
22CCRAA000_H01_premix,H01,G11 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,97.658,427,9,1,1,427,329703,330128,0.0,732.0,plus,PP_0271,CDS,329251.0,329970.0,-,gltR-I,two-component system response regulator,-,False,-
22CCRAA000_H02_premix,H02,F10 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,99.174,242,1,1,1,241,4740574,4740815,1.45e-122,435.0,plus,PP_4194,CDS,4739474.0,4740763.0,+,gltA,citrate synthase,-,False,-
22CCRAA000_H04_premix,H04,F7 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,94.203,138,7,1,53,190,2391228,2391364,1.26e-54,209.0,plus,PP_2096,CDS,2389140.0,2391377.0,+,rlmKL,23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))- methyltransferase,Cytoplasmic [Class 3],False,-
22CCRAA000_H05_premix,H05,A12 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,96.574,613,13,7,99,708,527926,528533,0.0,1009.0,plus,PP_23SC,rRNA,526763.0,529664.0,+,-,-,-,True,"['PP_23SA', 'PP_23SB', 'PP_23SD']"
22CCRAA000_H06_premix,H06,F10 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,97.738,619,11,3,96,714,6113659,6113044,0.0,1062.0,minus,PP_5364,CDS,6112871.0,6114316.0,+,clsA,cardiolipin synthase,Cytoplasmic Membrane [Class 3],False,-
22CCRAA000_H07_premix,H07,E9 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,99.845,645,1,0,103,747,4664827,4664183,0.0,1186.0,minus,PP_4125,CDS,4663848.0,4664855.0,+,nuoH,NADH-quinone oxidoreductase subunit H,-,False,-
22CCRAA000_H08_premix,H08,E8 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,99.764,423,1,0,100,522,174745,175167,0.0,776.0,plus,PP_23SA,rRNA,173203.0,176104.0,+,-,-,-,True,"['PP_23SB', 'PP_23SC', 'PP_23SD', 'PP_23SE', 'PP_23SF', 'PP_23SG']"
22CCRAA000_H09_premix,H09,C10 from KT5L-1-pBAMD1-2-4L3(PIR2),refseq|NC_002947.4|chromosome,94.432,431,19,5,95,522,227152,226724,0.0,658.0,minus,PP_0175,CDS,226726.0,227178.0,+,-,transcriptional regulator,-,False,-
22CCRAA000_H11_premix,H11,F5 from KT5L-1-pBAMD1-2-4L3(PIR2),refseq|NC_002947.4|chromosome,96.916,616,10,7,94,707,520408,521016,0.0,1024.0,plus,PP_0434,CDS,520204.0,521295.0,-,anmK,anhydro-N-acetylmuramic acid kinase,-,False,-
22CCRAA000_H12_premix,H12,G6 from KT2440-pBLAM1-2-TS2,refseq|NC_002947.4|chromosome,95.906,513,17,4,1,512,309460,308951,0.0,828.0,minus,PP_0255,CDS,309351.0,309833.0,-,-,hypothetical protein,-,False,-
22CCRAA000_B07_premix,B07,C10 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,96.825,567,17,1,94,660,15761,15196,0.0,946.0,minus,-,-,-,-,-,-,-,-,False,-
22CCRAA000_B09_premix,B09,C8 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,96.491,171,5,1,1,170,6081843,6082013,1.35e-76,281.0,plus,-,-,-,-,-,-,-,-,False,-
22CCRAA000_B11_premix,B11,B7 from KT5L-1-pBAMD1-2-4L3(PIR2),refseq|NC_002947.4|chromosome,98.419,506,6,2,92,596,706889,706385,0.0,889.0,minus,-,-,-,-,-,-,-,-,False,-
22CCRAA000_E08_premix,E08,H8 from KT2440-pBLAM1-2-6A,refseq|NC_002947.4|chromosome,99.66,294,1,0,104,397,15761,15468,1.83e-153,538.0,minus,-,-,-,-,-,-,-,-,False,-
22CCRAA000_H03_premix,H03,A9 from KT2440-pBLAM1-2-6T,refseq|NC_002947.4|chromosome,85.542,415,54,6,100,513,1534979,1535388,1.51e-120,429.0,plus,-,-,-,-,-,-,-,-,False,-
